nohup: ignoring input
=== Linux 监控采集器已启动 ===
[系统] 数据库初始化完成: monitor.db
开始循环采集 (按 Ctrl+C 停止)...

[06:27:01] CPU: 0.0% | 内存: 39.7% | 磁盘: 31.4%
[06:27:07] CPU: 0.0% | 内存: 39.7% | 磁盘: 31.4%
[06:27:13] CPU: 0.0% | 内存: 39.7% | 磁盘: 31.4%
[06:27:19] CPU: 0.5% | 内存: 39.8% | 磁盘: 31.4%
[06:27:25] CPU: 0.5% | 内存: 39.8% | 磁盘: 31.4%
[06:27:31] CPU: 17.2% | 内存: 40.0% | 磁盘: 31.4%
[06:27:37] CPU: 13.9% | 内存: 40.3% | 磁盘: 31.4%
[06:27:44] CPU: 16.5% | 内存: 40.3% | 磁盘: 31.4%
[06:27:50] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:27:56] CPU: 3.5% | 内存: 40.6% | 磁盘: 31.4%
[06:28:02] CPU: 1.0% | 内存: 40.2% | 磁盘: 31.4%
[06:28:08] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:28:14] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:28:20] CPU: 0.5% | 内存: 40.2% | 磁盘: 31.4%
[06:28:26] CPU: 1.0% | 内存: 40.6% | 磁盘: 31.4%
[06:28:32] CPU: 0.5% | 内存: 40.2% | 磁盘: 31.4%
[06:28:38] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:28:44] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:28:50] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:28:56] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:29:02] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:29:08] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:29:14] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:29:20] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:29:26] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:29:32] CPU: 1.5% | 内存: 40.2% | 磁盘: 31.4%
[06:29:38] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:29:44] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:29:50] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:29:56] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:30:02] CPU: 1.0% | 内存: 40.2% | 磁盘: 31.4%
[06:30:08] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:30:14] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:30:20] CPU: 0.5% | 内存: 40.2% | 磁盘: 31.4%
[06:30:26] CPU: 0.5% | 内存: 40.2% | 磁盘: 31.4%
[06:30:32] CPU: 0.0% | 内存: 40.1% | 磁盘: 31.4%
[06:30:38] CPU: 0.0% | 内存: 40.1% | 磁盘: 31.4%
[06:30:44] CPU: 1.0% | 内存: 40.1% | 磁盘: 31.4%
[06:30:50] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:30:56] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:31:02] CPU: 0.0% | 内存: 40.2% | 磁盘: 31.4%
[06:31:08] CPU: 0.5% | 内存: 40.3% | 磁盘: 31.4%
[06:31:14] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:31:20] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:31:26] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:31:32] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:31:38] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:31:44] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:31:50] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:31:56] CPU: 1.0% | 内存: 41.6% | 磁盘: 31.4%
[06:32:02] CPU: 1.5% | 内存: 41.7% | 磁盘: 31.4%
[06:32:08] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:32:14] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:32:20] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:32:26] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:32:32] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:32:38] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:32:44] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:32:50] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
